RB,Naziv portfelja,Dionice,"Portfelj
kreiran",Prinos,"Prinos
bez div.","Prinos iznad
CROBEX-a",Opaska
,,,,,,,
1.,shabaneli,"(0) PTKM-R-A,ADRS-P-A,INA-R-A",28.01. 12:16,41.30%,"40,07%","24,32%",
2.,Dividendica,"(0) ATPL-R-A,KODT-P-A,KODT-R-A,ERNT-R-A,ZAPI-R-A,HT-R-A",15.01. 19:09,40.53%,"32,85%","26,81%",Mogla bi biti nezgodna ova godina pa biram koliko-toliko sigurnu dividendu a nek se nađe i ATPL
3.,svido,"(0) ATPL-R-A,BCIN-R-A,KODT-R-A,HT-R-A",07.01. 10:19,38.57%,"30,48%","25,49%",ne sudjeluje u poklonima (djelatnik)
4.,Miro25,"(0) ATPL-R-A,LPLH-R-A,HT-R-A",25.01. 23:47,35.59%,"28,91%","20,87%",
5.,Lucius,"(0) HPB-R-A,HT-R-A,ADRS-P-A,PBZ-R-A,LEDO-R-A,ZABA-R-A",31.01. 11:53,35.50%,"32,24%","16,34%",
6.,NB,"(0) HT-R-A,DDJH-R-A,ADPL-R-A,PTKM-R-A,LPLH-R-A",07.01. 12:24,35.37%,"32,44%","22,29%",
7.,hmihajlo,"(0) HT-R-A,PTKM-R-A,ATPL-R-A",06.01. 20:47,35.19%,"28,00%","22,11%",
8.,mtrupinic,"(0) ATPL-R-A,HT-R-A,ERNT-R-A",07.01. 16:38,34.08%,"24,99%","21,00%",
9.,TERMICH,"(0) INGR-R-A,ADPL-R-A,ERNT-R-A,ADRS-P-A,HT-R-A,ATGR-R-A",20.01. 23:01,33.00%,"28,80%","19,19%",Izbor vršen metodom intuicije.
10.,Geronimo,"(0) ATPL-R-A,ERNT-R-A,HT-R-A",09.01. 10:48,32.71%,"23,73%","19,71%",
11.,mndrija,"(0) INA-R-A,ATPL-R-A,JDPL-R-A",16.01. 15:06,31.24%,"29,02%","17,52%",Sretno!
