RB,Naziv portfelja,Dionice,"Portfelj
kreiran",Prinos,"Prinos
bez div.","Prinos iznad 
OTP
indeksnog fonda",Opaska
,,,,,,,
1.,mhenc,"(0) ADRS-R-A,PODR-R-A,RIVP-R-A",13.01. 16:54,29.26%,"24,05%","30,23%",
2.,kungpao,"(2) ADRS-P-A,ADRS-R-A,JMNC-R-A,LEDO-R-A,LRHC-R-A,LRH-R-A,RIVP-R-A",08.01. 11:35,28.79%,"22,95%","28,50%",
3.,plavi001,"(0) ADRS-P-A,ADRS-R-A,ARNT-R-A,MAIS-R-A,RIVP-R-A",22.01. 20:32,27.83%,"21,75%","28,22%",
4.,luzeri,"(4) ATGR-R-A,DDJH-R-A,KOEI-R-A",31.12. 14:07,26.28%,"22,70%","23,66%",zadnji....sve ili ništa (7)
5.,MojTest,"(0) ADRS-R-A,KOEI-R-A,LRHC-R-A,LRH-R-A,RIVP-R-A",25.01. 17:23,26.14%,"21,75%","26,62%",
6.,gooo,"(4) ADRS-P-A,ADRS-R-A,JDGT-R-A",22.01. 17:35,25.64%,"18,96%","26,02%",
7.,pacodel,"(0) ADRS-R-A,ARNT-R-A,RIVP-R-A,ZABA-R-A",02.01. 20:28,25.11%,"18,38%","23,60%",
8.,Mlisic,"(0) ADRS-R-A,ARNT-R-A,RIVP-R-A",25.01. 23:51,24.91%,"19,61%","25,38%",
9.,piny,"(1) ADRS-P-A,ATPL-R-A,ERNT-R-A",20.01. 21:42,22.93%,"11,43%","24,56%",
10.,legovicdionice,"(0) ADRS-R-A,ARNT-R-A,ERNT-R-A,KRAS-R-A,MAIS-R-A,RIVP-R-A",23.01. 10:17,22.09%,"17,85%","22,56%",....i godine ove
11.,perkon,"(2) ADPL-R-A,ADRS-P-A,KODT-P-A,MAIS-R-A",24.01. 01:06,21.80%,"17,11%","22,27%",
12.,atila,"(1) ADRS-P-A,DLKV-R-A,HMST-R-A",24.01. 00:27,21.41%,"12,08%","21,89%",
13.,ratko41,"(7) ADRS-P-A,HIMR-R-A,HMST-R-A,RIVP-R-A,VDKT-R-A",01.01. 13:02,21.38%,"14,87%","18,77%",
14.,Ivan1902,"(1) AUHR-R-A,LRHC-R-A,LRH-R-A,RIVP-R-A,SAPN-R-A,ZVCV-R-A",30.12. 14:55,21.01%,"19,70%","18,79%",
15.,George,"(7) ADRS-R-A,HT-R-A,JDGT-R-A",06.01. 09:16,20.95%,"6,77%","19,77%",
16.,Božana14,"(5) AUHR-R-A,BETA-R-A,CKML-R-A,DELT-R-A,GAMA-R-A,LULG-R-A,PCTS-R-A,SNHA-R-A,SUNH-R-A,VDKT-R-A",05.01. 17:49,20.18%,"19,75%","19,00%",
17.,svido,"(4) ADPL-R-A,ADRS-P-A,HT-R-A,JDGT-R-A,JMNC-R-A",20.01. 18:54,19.76%,"12,25%","21,39%",odričem se poklona i ovaj put :)
18.,atdespot,"(0) ADRS-R-A,HT-R-A,LEDO-R-A,PBZ-R-A,PODR-R-A,ZABA-R-A",23.01. 13:48,19.68%,"13,65%","20,15%",
19.,ivan22,"(0) ADRS-R-A,BCIN-R-A,KOEI-R-A",31.12. 18:23,18.51%,"12,87%","15,89%",
20.,citro,"(0) ADRS-R-A,ARNT-R-A,ERNT-R-A,KRAS-R-A,LEDO-R-A,PODR-R-A",02.01. 10:40,17.91%,"13,62%","16,40%",
21.,nadabranko,"(0) ADRS-P-A,HMST-R-A,MAIS-R-A,RIVP-R-A",24.01. 16:07,17.30%,"13,02%","17,77%",
22.,jadviga,"(0) ADPL-R-A,ADRS-P-A,RIVP-R-A",20.01. 10:07,17.09%,"11,39%","18,72%",
23.,stefek10,"(1) ATLN-R-A,LRHC-R-A,LRH-R-A,RIVP-R-A",08.01. 10:01,17.08%,"15,08%","16,78%",
24.,ovchica,"(2) ADPL-R-A,ADRS-P-A,BETA-R-A,DELT-R-A,GAMA-R-A,KODT-P-A,LRHC-R-A,LRH-R-A,LULG-R-A,PCTS-R-A,RIVP-R-A,SNHA-R-A",31.12. 15:53,16.85%,"11,05%","14,24%",
25.,Vrsa,"(0) ADRS-P-A,ERNT-R-A,MAIS-R-A,ZABA-R-A",24.01. 12:55,16.72%,"8,70%","17,20%",
26.,Bocvana,"(0) ADPL-R-A,ADRS-P-A,ERNT-R-A,INGR-R-A,MAIS-R-A,RIVP-R-A",22.01. 12:40,16.08%,"12,08%","16,46%",
27.,bik600,"(4) ADRS-P-A,ADRS-R-A,ARNT-R-A,BETA-R-A,DELT-R-A,GAMA-R-A,PODR-R-A,SNHA-R-A",30.12. 21:58,14.72%,"9,26%","12,51%",Rijenco..
28.,bivanb,"(0) INA-R-A,KOEI-R-A,LEDO-R-A,LRHC-R-A,LRH-R-A,MAIS-R-A,RIVP-R-A",23.01. 19:28,13.62%,"12,38%","14,09%",
29.,andaluz,"(0) ARNT-R-A,BETA-R-A,DELT-R-A,GAMA-R-A,LULG-R-A,PCTS-R-A,RIVP-R-A,SNHA-R-A",21.01. 08:55,13.43%,"12,51%","14,36%",
30.,luka.os,"(0) BLJE-R-A,LRHC-R-A,LRH-R-A,RIVP-R-A",01.01. 13:47,13.22%,"12,29%","10,60%",
31.,xxxxxxxxxxx,"(0) ADPL-R-A,KOEI-R-A,LRHC-R-A,LRH-R-A",20.01. 14:54,13.20%,"12,64%","14,83%",
32.,matzerath,"(2) ADRS-R-A,HUPZ-R-A,LULG-R-A,PCTS-R-A,RIVP-R-A",25.01. 16:24,12.97%,"8,90%","13,44%",
33.,bregomit,"(0) KRAS-R-A,PODR-R-A,ZVZD-R-A",24.01. 20:47,12.93%,"12,06%","13,40%",
34.,Zoran13,"(1) ADRS-R-A,ATGR-R-A,CROS-P-A,HT-R-A,LEDO-R-A,RIVP-R-A",11.01. 21:48,12.46%,"8,44%","12,37%","Ride, si sapis!"
35.,dvOvb,"(7) ERNT-R-A,LRHC-R-A,LRH-R-A,LULG-R-A,PCTS-R-A,PODR-R-A,RIZO-R-A,VDKT-R-A,ZABA-R-A",24.01. 21:03,12.39%,"11,29%","12,86%",
36.,vedran.lucanin,"(0) ADRS-P-A,DDJH-R-A,MAIS-R-A,PODR-R-A,RIVP-R-A",24.01. 17:17,12.25%,"8,83%","12,73%",
37.,mariabrankica,"(6) ADRS-P-A,HIMR-R-A,HMST-R-A,LRHC-R-A,LRH-R-A,LULG-R-A,MAIS-R-A,PCTS-R-A,RIVP-R-A",07.01. 10:46,12.18%,"8,81%","11,87%",
38.,gklemenc,"(10) ATGR-R-A,INA-R-A,LEDO-R-A,MAIS-R-A,SAPN-R-A",01.01. 08:38,12.15%,"11,37%","9,53%",
39.,LenyT,"(1) ADRS-P-A,DLKV-R-A,HMST-R-A,LKPC-R-A,LRHC-R-A,LRH-R-A,RIVP-R-A",31.12. 00:49,11.88%,"7,90%","9,27%",
40.,investman,"(1) ADPL-R-A,ADRS-R-A,INA-R-A,PTKM-R-A",24.01. 16:32,11.80%,"8,21%","12,28%",
41.,BARIKB,"(2) ADRS-P-A,BETA-R-A,DDJH-R-A,DELT-R-A,GAMA-R-A,JDGT-R-A,PODR-R-A,RIVP-R-A,SNHA-R-A",21.01. 21:40,11.78%,"8,58%","12,71%","u radiše svega biše, a štediše popušiše"
42.,jurax,"(4) ERNT-R-A,LKRI-R-A,RIVP-R-A",20.01. 12:18,11.24%,"5,77%","12,87%",
43.,dasat,"(1) LEDO-R-A,LULG-R-A,RIVP-R-A,ZABA-R-A",25.01. 11:24,11.03%,"7,71%","11,50%",
44.,Tihi56,"(0) ADPL-R-A,ADRS-R-A,DDJH-R-A,LPLH-R-A,RIVP-R-A",25.01. 17:28,10.93%,"7,75%","11,40%",
45.,Mrle,"(0) ADRS-R-A,ERNT-R-A,HT-R-A,RIVP-R-A,TUHO-R-A",13.01. 22:43,10.85%,"5,23%","11,82%",!
46.,mazinovi,"(0) ADRS-R-A,DDJH-R-A,LPLH-R-A,RIVP-R-A",24.01. 13:04,10.76%,"6,79%","11,24%",
47.,dart,"(0) ADRS-P-A,ADRS-R-A,AUHR-R-A,HT-R-A,HUPZ-R-A,KOEI-R-A",20.01. 18:59,10.66%,"4,37%","12,29%",
48.,graham,"(1) ADPL-R-A,LKPC-R-A,LULG-R-A,PCTS-R-A,SUNH-R-A",24.01. 11:16,10.62%,"7,48%","11,10%",
49.,zoki,"(2) BD62-R-A,HMST-R-A,INA-R-A,RIVP-R-A",02.01. 15:22,10.58%,"9,74%","9,07%",
50.,MarinacHR,"(0) ADRS-R-A,ATGR-R-A,DDJH-R-A,ERNT-R-A,IMZV-R-A,TNPL-R-A",23.01. 09:24,10.46%,"5,52%","10,93%",
51.,viktorgasse,"(0) ADRS-P-A,KOEI-R-A,PODR-R-A",09.01. 13:50,10.14%,"4,78%","10,05%",
52.,gustav,"(1) ADPL-R-A,ATGR-R-A,ZABA-R-A",12.01. 14:21,10.06%,"6,07%","10,41%",
53.,isostic,"(0) ADRS-P-A,BETA-R-A,DELT-R-A,GAMA-R-A,HMST-R-A,LULG-R-A,MAIS-R-A,PCTS-R-A,RIVP-R-A,SNHA-R-A,TUHO-R-A",23.01. 15:15,9.95%,"6,94%","10,43%",
54.,drava,"(0) ADRS-R-A,DDJH-R-A,DLKV-R-A,KRAS-R-A,PODR-R-A",20.01. 15:05,9.84%,"6,73%","11,47%",
55.,bvidov45,"(3) ADRS-P-A,ATGR-R-A,JDGT-R-A,LEDO-R-A,MDKA-R-A",07.01. 15:22,9.69%,"4,61%","9,38%",
56.,KeyserSoze,"(4) ADRS-P-A,JDGT-R-A,KOTR-P-A",02.01. 11:46,9.67%,"3,93%","8,16%",
57.,facazplaca,"(7) ADPL-R-A,DLKV-R-A,HT-R-A,INGR-R-A,OPTE-R-A,RIVP-R-A",30.12. 17:32,9.36%,"6,66%","7,15%",
58.,fićo30,"(0) ADRS-R-A,BETA-R-A,DDJH-R-A,DELT-R-A,GAMA-R-A,HIMR-R-A,LULG-R-A,PCTS-R-A,PODR-R-A,RIVP-R-A,SNHA-R-A",25.01. 23:18,8.96%,"6,23%","9,43%",
59.,stellak,"(6) ADRS-P-A,ADRS-R-A,JDGT-R-A,LRHC-R-A,LRH-R-A,RIVP-R-A,ZABA-R-A",22.01. 12:14,8.89%,"2,76%","9,27%","biti će bolje, da biti će bolje"
60.,Brajko,"(0) ADRS-R-A,DLKV-R-A,INA-R-A",23.01. 22:32,8.56%,"4,04%","9,04%",
61.,Župa,"(0) ATGR-R-A,PODR-R-A,RIVP-R-A",24.01. 09:17,8.46%,"7,12%","8,93%",
62.,Dalibqr,"(0) ADRS-P-A,ATGR-R-A,BCIN-R-A,BETA-R-A,DELT-R-A,GAMA-R-A,LULG-R-A,MAIS-R-A,PCTS-R-A,PODR-R-A,SNHA-R-A",24.01. 22:24,8.35%,"5,50%","8,82%",
63.,max55,"(0) ADPL-R-A,INGR-R-A,KOEI-R-A,PODR-R-A",22.01. 08:51,8.30%,"7,88%","8,68%",
64.,shokre,"(2) ADRS-P-A,ARNT-R-A,ATGR-R-A,BETA-R-A,DELT-R-A,GAMA-R-A,HT-R-A,RIVP-R-A,SNHA-R-A",12.01. 11:36,8.29%,"4,43%","8,64%",
65.,citroence,"(0) ADPL-R-A,ADRS-R-A,ATPL-R-A,RIVP-R-A",02.01. 11:16,8.24%,"4,15%","6,73%",
66.,banjegl,"(0) HT-R-A,INGR-R-A,RIVP-R-A",23.01. 11:48,8.08%,"5,70%","8,55%",
67.,nimije,"(0) ADRS-P-A,DLKV-R-A,HT-R-A,RIVP-R-A",21.01. 12:31,7.92%,"2,52%","8,85%",
68.,dejvin,"(0) DDJH-R-A,LKPC-R-A,PODR-R-A,RIVP-R-A,SUNH-R-A",02.01. 12:49,7.75%,"7,20%","6,24%",ista meta isto odsojanje
69.,_sin_,"(5) JDGT-R-A,LKPC-R-A,MAIS-R-A",18.01. 15:22,7.55%,"7,55%","8,69%",
70.,sbejic,"(0) ADRS-P-A,ARNT-R-A,PLAG-R-A,RIVP-R-A,TUHO-R-A",25.01. 12:46,7.53%,"3,92%","8,00%",
71.,vorax,"(0) ADPL-R-A,DLKV-R-A,RIVP-R-A",23.01. 15:11,7.43%,"6,52%","7,91%",
72.,truli,"(1) ADPL-R-A,ADRS-P-A,ATGR-R-A,ATLN-R-A",30.12. 20:42,7.42%,"3,37%","5,20%",
73.,NP,"(0) ADRS-P-A,ARNT-R-A,ATGR-R-A,MAIS-R-A,RIVP-R-A,VART-R-1",22.01. 17:36,7.33%,"4,27%","7,71%",
74.,nskendrovic,"(0) HT-R-A,INGR-R-A,ZABA-R-A",25.01. 17:33,7.25%,"2,18%","7,72%",
75.,KrešoM,"(2) ADRS-P-A,DDJH-R-A,LULG-R-A,PCTS-R-A,RIVP-R-A",03.01. 19:26,7.12%,"5,64%","5,61%",
76.,jole1985,"(8) BETA-R-A,DELT-R-A,GAMA-R-A,JMNC-R-A,LRHC-R-A,LRH-R-A,MAIS-R-A,SNHA-R-A",24.01. 11:58,6.96%,"6,31%","7,43%",
